Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
1;Howick;Kwazulu-Natal;Pinus ;patula x tecunumanii;Seedlings/Cuttings;D;N;Dead;Well developed, Dead;Discoloration, Cambium;Discoloration, Cambium;Dead;Fusarium and Diplodia screening
2;Howick;Kwazulu-Natal;Acacia ;dunnii;Seedlings/Cuttings;D;N;Wilted;Dead, Plug bound;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
3;Howick;Kwazulu-Natal;Pinus;elliottii;Seedlings/Cuttings;D;N;Wilted;Few roots;Discoloration, Outer bark;Healthy;Alive;Fusarium and Diplodia screening
4;Howick;Kwazulu-Natal;Acacia ;elliotti/ elliotti x caribaea;Seedlings/Cuttings;D;N;Wilted;Few roots, Dead, Lots of moss;Discoloration, Outer bark, Lots of moss;Healthy;Wilted;Fusarium and Diplodia screening
5;Howick;Kwazulu-Natal;Acacia ;GN;Seedlings/Cuttings;D;N;Wilted;Well developed;Discoloration, Outer bark;Healthy;Wilted;Fusarium and Diplodia screening
6;Howick;Kwazulu-Natal;Pinus ;dunnii;Seedlings/Cuttings;D;N;Wilted, Dry;Healthy;Healthy;Healthy;Wilted, Dry and brown;Fusarium and Diplodia screening
7;Howick;Kwazulu-Natal;Pinus ;virgineus;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Healthy;Healthy;Wilted, Green;Fusarium and Diplodia screening
8;Howick;Kwazulu-Natal;Acacia ;caribaea;Seedlings/Cuttings;D;N;Wilted;Dead, Plug bound;Discoloration, Between outer and inner bark;Kino/Gum/Resin Exudation, Discoloration, Outer bark, Cambium, Between outer and inner bark;Wilted;Fusarium and Diplodia screening
9;Howick;Kwazulu-Natal;Acacia ;dunnii;Seedlings/Cuttings;D;N;Wilted;Dead;Fruiting bodies;Healthy;Wilted;Fusarium and Diplodia screening
10;Howick;Kwazulu-Natal;Acacia ;elliottii;Seedlings/Cuttings;D;N;Wilted;Few roots, Dead;Discoloration, Between outer and inner bark;Discoloration, Between outer and inner bark;Wilted;Fusarium and Diplodia screening
11;Howick;Kwazulu-Natal;Acacia ;patula x oocarpa;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Healthy;Healthy;Wilted;Fusarium and Diplodia screening
12;Howick;Kwazulu-Natal;Acacia ;caribaea;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
13;Howick;Kwazulu-Natal;Pinus ;dunnii;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Discoloration, Outer bark;Alive;Fusarium and Diplodia screening
14;Howick;Kwazulu-Natal;Acacia ;caribaea;Seedlings/Cuttings;D;N;Wilted;Well developed, Dark brown;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
15;Howick;Kwazulu-Natal;Acacia ;elliottii;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
16;Howick;Kwazulu-Natal;Pinus ;elliotti;Seedlings/Cuttings;D;N;Wilted;Few roots, Dead, Fungal growth;Discoloration, Outer bark;Discoloration, Outer bark;All removed;Fusarium and Diplodia screening
17;Howick;Kwazulu-Natal;Pinus;dunnii;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Healthy;Wilted, Dry ;Fusarium and Diplodia screening
18;Howick;Kwazulu-Natal;Acacia;dunnii;Seedlings/Cuttings;D;N;Wilted, Dry, Dead;Healthy;Discoloration, Outer bark;Discoloration, Between outer and inner bark;Wilted;Fusarium and Diplodia screening
19;Howick;Kwazulu-Natal;Acacia ;dunnii;Seedlings/Cuttings;D;N;Wilted;Few roots;Discoloration, Between outer and inner bark;Dry;Wilted;Fusarium and Diplodia screening
20;Howick;Kwazulu-Natal;Pinus ;CP;Seedlings/Cuttings;D;N;Dead roots, Brown tips;Few roots, Dead;Discoloration, Outer bark;Healthy;Wilted;Fusarium and Diplodia screening
21;Howick;Kwazulu-Natal;Acacia ;dunnii;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Healthy;Wilted;Fusarium and Diplodia screening
